Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,60.730000,60.910000,57.930000,58.380001,58.380001,41978600
2024-01-03,57.480000,58.895000,57.330002,58.250000,58.250000,31800600
2024-01-04,58.250000,58.985001,57.730000,57.799999,57.799999,20370700
2024-01-05,58.110001,58.509998,57.220001,57.580002,57.580002,17875200
2024-01-08,58.090000,59.160000,57.849998,59.009998,59.009998,21213000
2024-01-09,58.500000,60.540001,58.450001,60.299999,60.299999,22319900
2024-01-10,60.279999,62.610001,60.279999,62.410000,62.410000,30788900
2024-01-11,62.990002,63.610001,61.860001,63.470001,63.470001,28888900
2024-01-12,63.200001,64.919998,63.000000,63.200001,63.200001,26367100
2024-01-16,63.000000,64.000000,62.919998,63.650002,63.650002,19511800
2024-01-17,62.950001,63.419998,61.680000,63.119999,63.119999,19971600
2024-01-18,64.000000,65.000000,63.384998,64.879997,64.879997,24149900
2024-01-19,64.900002,65.385002,64.410004,65.110001,65.110001,20332900
2024-01-22,65.440002,65.610001,64.150002,64.550003,64.550003,17851700
2024-01-23,64.500000,64.809998,63.689999,64.320000,64.320000,13619600
2024-01-24,64.000000,64.397003,63.220001,63.759998,63.759998,17238100
2024-01-25,64.279999,66.029999,63.709999,66.000000,66.000000,21963000
2024-01-26,65.650002,66.044998,65.290001,65.519997,65.519997,13099600
2024-01-29,65.599998,67.099998,65.559998,66.980003,66.980003,15902000
2024-01-30,66.900002,67.690002,66.220001,66.839996,66.839996,17562100
2024-01-31,65.699997,66.250000,64.845001,65.269997,65.269997,17026400
2024-02-01,66.120003,66.849998,65.589996,66.730003,66.730003,12504200
2024-02-02,66.980003,68.250000,66.510002,68.070000,68.070000,18642700
2024-02-05,68.239998,69.989998,67.855003,68.989998,68.989998,26079500
2024-02-06,69.059998,70.680000,68.440002,70.470001,70.470001,34464000
2024-02-07,67.595001,71.900002,67.239998,70.650002,70.650002,43367000
2024-02-08,71.930000,73.050003,71.195000,71.610001,71.610001,21618200
2024-02-09,71.430000,72.040001,69.690002,70.910004,70.910004,20858700
2024-02-12,71.000000,71.379997,68.735001,69.120003,69.120003,19554900
2024-02-13,67.894997,69.550003,66.709999,68.989998,68.989998,22857100
2024-02-14,74.599998,79.199997,74.309998,79.150002,79.150002,69846700
2024-02-15,79.000000,81.864998,78.279999,81.389999,81.389999,40330200
2024-02-16,80.550003,80.879997,78.110001,78.410004,78.410004,24442600
